resid,leaflet,X coords,Y coords,Z coords,Thickness
8275,lower leaflet,15.936,38.927,2.142,3.797
8276,lower leaflet,41.459,30.134,2.580,4.417
8277,lower leaflet,15.018,39.595,1.962,3.826
8278,lower leaflet,41.529,9.375,1.867,4.370
8279,lower leaflet,17.279,0.178,1.933,4.528
8280,lower leaflet,32.497,48.662,2.103,4.237
8281,lower leaflet,27.864,19.277,1.674,4.199
8282,lower leaflet,24.071,24.321,2.057,4.349
8283,lower leaflet,23.397,32.160,2.415,4.316
8284,lower leaflet,1.164,1.572,2.061,4.385
8285,lower leaflet,25.855,13.550,1.477,4.360
8286,lower leaflet,9.383,3.866,1.742,4.189
8287,lower leaflet,37.862,19.111,2.041,4.120
8288,lower leaflet,23.704,41.003,1.818,3.726
8289,lower leaflet,52.931,29.224,1.868,3.825
8290,lower leaflet,10.486,13.293,1.536,4.084
8291,lower leaflet,20.969,36.631,2.356,3.790
8292,lower leaflet,6.660,15.410,1.666,4.110
8293,lower leaflet,49.468,27.436,2.612,3.571
8294,lower leaflet,35.816,23.420,1.800,4.114
8295,lower leaflet,5.623,38.191,2.447,3.827
8296,lower leaflet,50.514,29.619,2.039,3.282
8297,lower leaflet,46.759,51.171,2.158,4.129
8298,lower leaflet,6.154,35.267,2.724,3.758
8299,lower leaflet,8.168,24.702,1.839,4.172
8300,lower leaflet,40.837,44.869,1.892,3.713
8301,lower leaflet,12.543,29.557,1.968,4.182
8302,lower leaflet,18.697,4.918,1.787,4.416
8303,lower leaflet,28.084,1.183,1.893,4.395
8304,lower leaflet,5.252,35.912,2.342,3.425
8305,lower leaflet,18.668,43.146,2.303,4.023
8306,lower leaflet,44.307,45.960,1.491,3.915
8307,lower leaflet,40.303,22.393,1.953,3.967
8308,lower leaflet,25.794,1.942,1.873,4.344
8309,lower leaflet,33.062,11.534,1.752,4.293
8310,lower leaflet,7.949,6.396,1.664,4.440
8311,lower leaflet,50.582,7.115,1.993,4.394
8312,lower leaflet,25.954,50.724,2.336,3.922
8313,lower leaflet,23.933,12.059,2.007,4.348
8314,lower leaflet,22.772,54.191,1.941,4.436
8315,lower leaflet,13.259,45.860,2.010,4.278
8316,lower leaflet,21.704,35.078,2.448,3.948
8317,lower leaflet,40.406,31.043,2.113,3.854
8318,lower leaflet,12.147,36.043,2.422,4.056
8319,lower leaflet,14.276,30.495,2.030,3.854
8320,lower leaflet,19.073,8.393,1.727,4.367
8321,lower leaflet,39.546,15.095,2.276,4.203
8322,lower leaflet,33.904,20.023,2.420,4.361
8323,lower leaflet,51.556,1.807,2.331,4.358
8324,lower leaflet,48.688,8.147,1.864,4.484
8325,lower leaflet,50.755,35.963,2.446,3.349
8326,lower leaflet,44.020,52.063,1.913,4.329
8327,lower leaflet,12.447,14.745,1.813,4.248
8328,lower leaflet,42.159,11.795,2.125,4.403
8329,lower leaflet,14.791,13.218,2.104,4.370
8330,lower leaflet,5.868,51.331,1.845,4.136
8331,lower leaflet,0.429,36.363,2.077,3.163
8332,lower leaflet,33.105,47.612,2.170,3.976
8333,lower leaflet,32.653,27.200,2.168,3.953
8334,lower leaflet,19.709,5.823,1.615,4.439
8335,lower leaflet,34.545,33.523,2.553,3.906
8336,lower leaflet,49.082,12.046,1.495,4.298
8337,lower leaflet,32.131,16.744,1.663,4.151
8338,lower leaflet,46.677,44.131,1.902,3.788
8339,lower leaflet,12.551,7.662,1.648,4.368
8340,lower leaflet,14.438,54.132,1.847,4.445
8341,lower leaflet,20.373,9.807,1.555,4.344
8342,lower leaflet,27.610,30.859,2.257,3.789
8343,lower leaflet,37.512,25.753,2.044,3.947
8344,lower leaflet,10.195,20.085,1.905,4.157
8345,lower leaflet,2.636,23.307,2.038,3.994
8346,lower leaflet,22.952,37.996,2.510,3.966
8347,lower leaflet,19.616,27.943,2.537,4.113
8348,lower leaflet,37.737,2.534,1.945,4.249
8349,lower leaflet,15.152,36.614,2.338,3.577
8350,lower leaflet,50.784,21.347,2.788,4.353
8351,lower leaflet,30.009,4.699,1.691,4.287
8352,lower leaflet,0.491,16.668,1.539,4.142
8353,lower leaflet,31.272,54.242,1.930,4.245
8354,lower leaflet,22.520,48.713,1.842,4.155
8355,lower leaflet,9.583,21.629,2.004,4.392
8356,lower leaflet,54.040,16.101,2.083,4.100
8357,lower leaflet,25.034,39.511,2.100,3.944
8358,lower leaflet,40.186,54.085,1.946,4.349
8359,lower leaflet,5.969,12.015,1.618,4.309
8360,lower leaflet,16.739,49.271,1.883,4.397
8361,lower leaflet,31.390,40.735,1.621,3.754
8362,lower leaflet,17.236,31.668,2.023,3.946
8363,lower leaflet,21.220,37.356,2.457,3.918
8364,lower leaflet,0.220,24.053,2.000,3.766
8365,lower leaflet,53.364,37.347,2.338,3.973
8366,lower leaflet,1.974,50.835,1.578,4.146
8367,lower leaflet,7.753,2.081,2.336,4.445
8368,lower leaflet,29.665,9.716,1.573,4.272
8369,lower leaflet,38.899,45.847,2.503,4.032
8370,lower leaflet,7.990,41.635,2.531,3.805
8371,lower leaflet,52.679,52.387,1.617,4.156
8372,lower leaflet,37.233,48.584,2.316,4.315
8373,lower leaflet,17.724,16.957,2.177,4.203
8374,lower leaflet,23.372,6.154,1.947,4.513
8375,lower leaflet,32.396,52.520,1.901,4.296
8376,lower leaflet,42.982,42.929,1.650,3.681
8377,lower leaflet,53.868,50.409,1.750,4.179
8378,lower leaflet,0.343,6.221,1.809,4.322
8379,lower leaflet,2.389,44.935,2.238,3.989
8380,lower leaflet,17.267,23.419,2.678,4.298
8381,lower leaflet,24.319,47.671,1.586,4.438
